| 4639560 | 100.00 |
|    1367 |  99.56 |
|    1365 |  99.71 |
|     768 |  98.83 |
|     768 |  98.83 |
|     768 | 100.00 |
|     769 | 100.00 |
|    1899 |  99.21 |
|    5340 |  99.14 |
|    1737 |  99.02 |
|    1732 |  99.08 |
|    5257 |  99.41 |
|    1741 |  99.25 |
|    3236 |  99.08 |
|    3368 |  99.44 |
|    3243 |  99.26 |
|    3246 |  99.41 |
|    1238 |  99.60 |
|    1235 |  99.51 |
|    1202 |  99.92 |
|    1200 |  99.92 |
|    1199 |  99.92 |
|    1199 |  99.92 |
|    1199 |  99.92 |
|    1199 |  99.92 |
|    1199 |  99.92 |
|    1195 |  99.58 |
|    1195 | 100.00 |
|     769 |  99.48 |
|     769 |  98.83 |
|     768 |  98.83 |
|     770 | 100.00 |
|     768 |  98.83 |
|     769 |  98.83 |
|     768 |  98.83 |
|     770 | 100.00 |
|     768 |  99.48 |
|     768 |  98.83 |
|    1255 | 100.00 |
|    1255 | 100.00 |
|    1255 | 100.00 |
|    1255 | 100.00 |
|    1339 |  99.85 |
|    1333 | 100.00 |
|    1331 | 100.00 |
|    1333 | 100.00 |
|    1331 | 100.00 |
|     706 | 100.00 |
|    1268 |  99.84 |
|    1270 |  99.92 |
|    1260 | 100.00 |
|    1255 | 100.00 |
|    1563 |  95.91 |
|    1270 |  99.92 |
|    1260 | 100.00 |
|    1260 | 100.00 |
|    1255 | 100.00 |
|    1203 | 100.00 |
|    1204 | 100.00 |
|    1199 |  99.92 |
|    1203 | 100.00 |
|    1203 | 100.00 |
|    1202 |  99.92 |
|    1204 | 100.00 |
|    1202 |  99.50 |
|    1195 | 100.00 |
|    1367 |  99.56 |
|    1365 |  99.71 |
|    1202 |  99.92 |
|    1208 |  99.92 |
|    1203 | 100.00 |
|    1202 |  99.92 |
|    1202 | 100.00 |
|    1203 | 100.00 |
|    1209 |  99.92 |
|    1202 |  99.50 |
|    1195 | 100.00 |
|    3830 |  97.10 |
|    3721 |  96.96 |
|     769 |  99.48 |
|     768 |  99.48 |
|    1260 | 100.00 |
|    1260 | 100.00 |
|    1255 | 100.00 |
|    1259 | 100.00 |
|    1208 |  99.92 |
|    1203 | 100.00 |
|    1202 |  99.50 |
|    1203 | 100.00 |
|    1203 | 100.00 |
|    1202 |  99.92 |
|    1202 | 100.00 |
|    1200 |  99.92 |
|    1195 | 100.00 |
|    2561 |  98.91 |
|    1332 | 100.00 |
|    1333 | 100.00 |
|    1331 | 100.00 |
|     706 | 100.00 |
|    1334 | 100.00 |
